date,mean_temp,num_mean_temp_samples,mean_dew_point,num_mean_dew_point_samples,mean_sealevel_pressure,num_mean_sealevel_pressure_samples,mean_visibility,num_mean_visibility_samples,mean_wind_speed,num_mean_wind_speed_samples,max_sustained_wind_speed,max_gust_wind_speed,max_temperature,max_temperature_explicit,total_precipitation,fog,rain,snow,hail,thunder,tornado,wban_number_3887,wban_number_3960,wban_number_4846,wban_number_4894,wban_number_14827,wban_number_14842,wban_number_53802,wban_number_94846,wban_number_94870,wban_number_94892,wban_number_99999
2000-06-17,0.5303595475459343,0.3046951397055245,0.499934732325454,0.3186425231770944,0.22540672343931434,0.8797311323994823,0.9968616984884425,0.3121481565043781,-0.41619318030903446,0.37940225384771453,-0.8836530727946142,-1.6019143424683147,0.8068511944531667,0,-0.3981334791005732,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2007-02-25,-0.8532030226803694,0.3046951397055245,-0.5755936333742347,0.3186425231770944,-2.679155942006459,-2.573035606185065,-1.9337793815641537,0.3121481565043781,1.539625540079295,0.37940225384771453,1.2256068450276523,1.0210736996125542,-0.7713438280893573,1,1.2572309551621514,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003-03-15,-0.007101215843939568,-2.01955659203523,0.022531756273951258,-1.9641778470386468,-0.015382514480937973,-1.0932784325059735,-1.1429713020713665,-1.983992520154942,-0.4433573040171692,-1.6829253567180453,-0.8836530727946142,-1.267439415827028,-0.1864183869056851,0,-0.3981334791005732,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2002-05-13,0.21639739379163536,0.3046951397055245,0.3243382089202976,0.3186425231770944,0.34580134239943194,-1.0932784325059735,0.11301770054893874,0.3121481565043781,1.2951482971773234,0.37940225384771453,0.3365798990462064,0.14087634752040762,0.3212527745557586,1,3.0809377166872864,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2004-01-14,-0.9436665667990938,-0.027340821971726163,-0.9267866801845468,-0.007474672568011491,0.3307554595996553,0.38647874117311837,0.9503438501729123,-0.01587194016123909,0.5345520561769956,0.08478402376689172,1.0512878490503923,1.1971131700309836,-1.0086248526470527,0,-0.3981334791005732,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2004-06-15,1.2647121510621222,-0.3593767836489768,1.3779173493512342,-0.3335918683131174,-0.3163736546415494,-0.8466522368927915,0.5316805535452703,-0.34389203682685626,-0.7149988001560349,-0.20983420631393113,1.0512878490503923,1.9188750659002718,1.3145221454133462,1,-0.3981334791005732,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2007-11-26,-0.9064169676890734,-0.027340821971726163,-0.7566775677602378,-0.007474672568011491,-0.04548346560110896,-0.10677365005324554,-0.8173445893374074,-0.01587194016123909,-0.2532083085314668,0.08478402376689172,-0.5175831147449481,-0.8801524465990258,-0.6720168068030931,1,-0.3981334791005732,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2004-09-21,0.5569665200502862,0.3046951397055245,0.3243382089202976,0.3186425231770944,1.007985524961031,0.8797311323994823,0.9038255582260709,0.3121481565043781,-1.1224610443643335,0.37940225384771453,-1.0579720687718739,-1.0913999454085983,0.12259873198322936,1,-0.3981334791005732,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2002-03-26,-1.2203791214433728,-0.3593767836489768,-0.965198347723159,-0.3335918683131174,0.8725358376805019,-2.0797832149587014,-0.3521634443942343,-0.34389203682685626,1.8384312894550547,-0.20983420631393113,0.8769688530731322,-0.03516312289802171,-1.0693246814468866,0,-0.3981334791005732,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000-07-10,1.6318884528202162,0.3046951397055245,1.7455723151131106,0.3186425231770944,-0.6625208142427261,0.8797311323994823,-1.2360076641493942,0.3121481565043781,-0.3075365559477363,0.37940225384771453,-0.168945122790428,-0.7217169903761681,1.8497843390804667,0,-0.3981334791005732,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
